PLATAFORMA,TIPO,ESTADO,VENDEDOR,DIRECCIÓN,BARRIO/ZONA,Mts2 total,Mts2 Cubiertos,AMBIENTES,HABITACIONES,BAÑOS,PRECIO(u$d)
propia,departamento,,Romero Y Asociados,Belgrano 200,Barrio Centro 1,100.0,100.0,5.0,2.0,1.0,
propia,casa,,Proin,Caseros 200,General Belgrano,98.0,98.0,6.0,2.0,1.0,80000.0
propia,departamento,,Romero Y Asociados,Pellegrini 900,Barrio Centro 2,70.0,70.0,4.0,2.0,1.0,
propia,departamento,,Proin,España 1500,Barrio Norte,38.0,38.0,2.0,1.0,1.0,43000.0
propia,departamento,,Romero Y Asociados,Castelli 300,Barrio Norte,55.0,55.0,2.0,1.0,1.0,
propia,casa quinta,,Proin,Lascala 4200,Los Pinos,176.0,,6.0,3.0,1.0,135000.0
propia,casa,,Romero Y Asociados,Arenales 100,General Belgrano,,,,,,
propia,departamento,,Proin,Alem 84,Barrio Centro 3,,,3.0,3.0,2.0,
propia,departamento,0.0,Romero Y Asociados,9 De Julio Y Santa Fe,Barrio Centro 1,,,2.0,1.0,1.0,
propia,casa,,Romero Y Asociados,3 De Febrero 200,Barrio Centro 3,161.0,161.0,7.0,3.0,2.0,
propia,casa,,Proin,Chile 100,Tiro Federal,166.0,166.0,5.0,2.0,1.0,70000.0
propia,departamento,,Romero Y Asociados,Hipólito Yrigoyen 1000,Bernardino Rivadavia,44.0,44.0,2.0,1.0,1.0,
propia,departamento,,Proin,25 De Mayo 1000,Barrio Centro 2,360.0,360.0,7.0,4.0,3.0,560000.0
propia,departamento,,Proin,25 De Mayo 1000,Barrio Centro 2,180.0,180.0,5.0,2.0,2.0,350000.0
propia,casa,,Romero Y Asociados,Guemes 300,M.M De Guemes,217.0,217.0,10.0,4.0,3.0,
propia,departamento,,Proin,Maipu 1000,Barrio Centro 2,50.0,50.0,2.0,1.0,1.0,
propia,departamento,0.0,Proin,Alsina 800,M.M De Guemes,86.0,83.0,4.0,2.0,1.0,76500.0
propia,departamento,,Romero Y Asociados,Edison 800,Barrio Centro 2,88.0,88.0,4.0,2.0,1.0,
propia,casa,,Romero Y Asociados,Juan B Justo 500,General San Martín,,,6.0,2.0,1.0,
propia,departamento,,Valeria Riesgo,Castelli Y Manzano,Malvinas Argentinas,65.0,57.0,1.0,1.0,1.0,35000.0
propia,casa,,Proin,San Martin 500,Barrio Centro 1,,,13.0,,3.0,300000.0
propia,casa,,Romero Y Asociados,Manzano 400,Malvinas Argentinas,80.0,80.0,4.0,1.0,1.0,
propia,casa,,Romero Y Asociados,Maipu 2200,Bernardino Rivadavia,151.0,161.0,6.0,4.0,2.0,
propia,galpón,,Proin,Santa Fe 2000,Barrio Norte,150.0,150.0,,,,100000.0
propia,casa,,Proin,Neuquen 23,M.M De Guemes,114.0,114.0,3.0,2.0,1.0,90000.0
propia,galpón,,Proin,12 De Octubre 1900,Barrio De La Carne,192.0,192.0,6.0,2.0,1.0,110000.0
propia,casa,,Proin,Mendoza 76,Provincias Unidas,145.0,145.0,6.0,2.0,1.0,115000.0
propia,casa,,Romero Y Asociados,Lisandro De La Torre 1500,San José Obrero,140.0,140.0,7.0,2.0,1.0,
propia,departamento,,Romero Y Asociados,Belgrano 75,Barrio Centro 1,78.0,78.0,6.0,3.0,1.0,
propia,casa,,Romero Y Asociados,Moreno 1700,San José Obrero,137.0,137.0,7.0,3.0,1.0,
propia,departamento,0.0,Proin,25 De Mayo 85,Barrio Centro 2,54.0,51.0,2.0,1.0,1.0,68000.0
propia,departamento,4.0,Proin,Alvear 1200,Bernardino Rivadavia,47.0,43.0,2.0,1.0,1.0,55000.0
propia,departamento,,Proin,Belgrano 1200,Barrio Centro 1,80.0,80.0,4.0,2.0,1.0,120000.0
propia,cochera,,Proin,9 De Julio 1700,Barrio Centro 2,125.0,125.0,,,,
propia,casa,,Romero Y Asociados,Juan B. Alberdi 300,Barrio Centro 3,124.0,124.0,6.0,3.0,1.0,
propia,casa,,Proin,Saavedra 500,Barrio Centro 1,,,7.0,3.0,1.0,135000.0
propia,casa,,Romero Y Asociados,Las Calandrias 1700,Los Robles,243.0,243.0,6.0,3.0,2.0,
propia,casa,,Proin,Bartolomé Long 1600,Villa Casey,160.0,120.0,5.0,3.0,2.0,70000.0
propia,casa,,Proin,Juan B. Alberdi 300,Barrio Centro 3,141.0,141.0,6.0,2.0,1.0,65000.0
propia,casa,,Broker,Lavalle 1100,Barrio Centro 2,159.0,159.0,5.0,2.0,2.0,
propia,casa,,Broker,Colón 400,Barrio Centro 1,142.0,142.0,4.0,2.0,4.0,
propia,casa,,Proin,Maestros Argentinos 1100,San José Obrero,97.0,97.0,3.0,2.0,1.0,65000.0
